,items,sentiment_score_definition,relevance_score_definition,feed
0,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Auctioneers Unveil Microsoft Co-founder's $1 Bn Art Collection"", 'url': 'https://www.barrons.com/news/auctioneers-unveil-microsoft-co-founder-s-1-bn-art-collection-01665623706', 'time_published': '20221013T011616', 'authors': ['AFP - Agence France Presse'], 'summary': 'Auctioneers unveiled the most expensive art collection ever to go under the hammer Wednesday, which belonged to Microsoft co-founder Paul Allen and is valued at $1 billion. Five centuries of touchstone works featuring some of the most significant creators in history are being sold next month.', 'banner_image': '', 'source': 'Barrons', 'category_within_source': 'n/a', 'source_domain': 'www.barrons.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.134276, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.265378', 'ticker_sentiment_score': '0.124671', 'ticker_sentiment_label': 'Neutral'}]}"
1,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Auctioneers Unveil Microsoft Co-founder's $1 Bn Art Collection"", 'url': 'https://www.barrons.com/articles/auctioneers-unveil-microsoft-co-founder-s-1-bn-art-collection-01665623706', 'time_published': '20221013T011616', 'authors': ['AFP - Agence France Presse'], 'summary': 'Auctioneers unveiled the most expensive art collection ever to go under the hammer Wednesday, which belonged to Microsoft co-founder Paul Allen and is valued at $1 billion. Five centuries of touchstone works featuring some of the most significant creators in history are being sold next month.', 'banner_image': '', 'source': 'Barrons', 'category_within_source': 'n/a', 'source_domain': 'www.barrons.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.134276, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.265378', 'ticker_sentiment_score': '0.124671', 'ticker_sentiment_label': 'Neutral'}]}"
2,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Auctioneers Unveil Microsoft Co-founder's $1 Bn Art Collection"", 'url': 'https://www.barrons.com/amp/news/auctioneers-unveil-microsoft-co-founder-s-1-bn-art-collection-01665623706', 'time_published': '20221013T011616', 'authors': ['AFP - Agence France Presse'], 'summary': 'Auctioneers unveiled the most expensive art collection ever to go under the hammer Wednesday, which belonged to Microsoft co-founder Paul Allen and is valued at $1 billion. Five centuries of touchstone works featuring some of the most significant creators in history are being sold next month.', 'banner_image': '', 'source': 'Barrons', 'category_within_source': 'n/a', 'source_domain': 'www.barrons.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.134276, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.265378', 'ticker_sentiment_score': '0.124671', 'ticker_sentiment_label': 'Neutral'}]}"
3,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'First big move to a virtual workplace', 'url': 'https://www.axios.com/2022/10/13/first-big-move-to-a-virtual-workplace', 'time_published': '20221013T012543', 'authors': ['/authors/scottrosenberg', '/authors/ina', 'Ina Fried', 'Scott Rosenberg'], 'summary': 'Meta this week rolled out the most advanced, widely available virtual reality glasses ever - and found a rival/partner to bring them into your home office: Microsoft.', 'banner_image': 'https://images.axios.com/Nre3i8uHv2iJMLBLREEhZL2YDDg=/0x0:1920x1080/1366x768/2022/10/13/1665624813852.jpg', 'source': 'Axios', 'category_within_source': 'Markets', 'source_domain': 'www.axios.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.146479, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.203215', 'ticker_sentiment_score': '0.117109', 'ticker_sentiment_label': 'Neutral'}]}"
4,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Duck Creek Technologies, Inc.  ( DCT )  Q4 2022 Earnings Call Transcript', 'url': 'https://www.fool.com/earnings/call-transcripts/2022/10/12/duck-creek-technologies-inc-dct-q4-2022-earnings-c/', 'time_published': '20221013T023033', 'authors': ['Motley Fool Transcribing'], 'summary': 'DCT earnings call for the period ending September 30, 2022.', 'banner_image': 'https://g.foolcdn.com/misc-assets/fool-transcripts-logo.png', 'source': 'Motley Fool', 'category_within_source': 'n/a', 'source_domain': 'www.fool.com', 'topics': [{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.928139'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.99999'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.310843'}], 'overall_sentiment_score': 0.274243, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.004907', 'ticker_sentiment_score': '0.063681', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BCS', 'relevance_score': '0.004907', 'ticker_sentiment_score': '0.140555', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DCT', 'relevance_score': '0.004907', 'ticker_sentiment_score': '0.220048', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CAPMF', 'relevance_score': '0.004907', 'ticker_sentiment_score': '0.196677', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'BAX', 'relevance_score': '0.004907', 'ticker_sentiment_score': '0.141985', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DHKCF', 'relevance_score': '0.004907', 'ticker_sentiment_score': '0.252463', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CAH', 'relevance_score': '0.004907', 'ticker_sentiment_score': '0.141985', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ACN', 'relevance_score': '0.004907', 'ticker_sentiment_score': '0.196677', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'ALIZF', 'relevance_score': '0.004907', 'ticker_sentiment_score': '0.134256', 'ticker_sentiment_label': 'Neutral'}]}"
5,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Tom Brady Now Owns a Part Of Pickleball', 'url': 'https://www.fool.com/investing/2022/10/12/tom-brady-now-owns-a-part-of-pickleball/', 'time_published': '20221013T030018', 'authors': ['The Daily Upside'], 'summary': ""Tom Brady isn't known for his dink shots but that may soon change. The NFL legend is joining a new Major League Pickleball (MLP) ownership group..."", 'banner_image': 'https://g.foolcdn.com/misc-assets/hp-sa-cumulative-growth-chart.png', 'source': 'Motley Fool', 'category_within_source': 'n/a', 'source_domain': 'www.fool.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}], 'overall_sentiment_score': 0.31631, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.07887', 'ticker_sentiment_score': '0.049564', 'ticker_sentiment_label': 'Neutral'}]}"
6,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Surface Pro 9, Surface Laptop 5, Surface Studio 2+ and all the top announcements from Microsoft's big fall hardware event 2022 | The Financial Express"", 'url': 'https://www.financialexpress.com/industry/technology/surface-pro-9-surface-laptop-5-surface-studio-2-and-all-the-top-announcements-from-microsofts-big-fall-hardware-event-2022/2709022/', 'time_published': '20221013T061142', 'authors': [], 'summary': ""Surface Pro 9, Surface Laptop 5, Surface Studio 2+ and all the top announcements from Microsoft's big fall hardware event 2022 The Financial Express ..."", 'banner_image': 'https://www.financialexpress.com/wp-content/uploads/2022/10/Microsoft-Final.jpg', 'source': 'The Financial Express', 'category_within_source': 'IndustryGoogleRSS', 'source_domain': 'www.financialexpress.com', 'topics': [{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}], 'overall_sentiment_score': 0.255925, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.677751', 'ticker_sentiment_score': '0.477625', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMSWA', 'relevance_score': '0.060694', 'ticker_sentiment_score': '0.073', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.121037', 'ticker_sentiment_score': '0.11023', 'ticker_sentiment_label': 'Neutral'}]}"
7,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'More Apple services coming to Microsoft Xbox, Windows 11: Details here', 'url': 'https://www.business-standard.com/article/technology/more-apple-services-coming-to-microsoft-xbox-windows-11-details-here-122101300415_1.html', 'time_published': '20221013T062200', 'authors': ['BS Web Team'], 'summary': 'Apple Music is now available on Xbox, whereas, Apple Music and the Apple TV app will be available on Windows from next year ...', 'banner_image': 'https://bsmedia.business-standard.com/_media/bs/img/article/2017-03/15/full/1489597286-556.jpg?im=Resize,width=640', 'source': 'Business Standard', 'category_within_source': 'Top Stories', 'source_domain': 'www.business-standard.com', 'topics': [{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}], 'overall_sentiment_score': 0.203803, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.684305', 'ticker_sentiment_score': '0.371381', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMSWA', 'relevance_score': '0.079921', 'ticker_sentiment_score': '0.052785', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.079921', 'ticker_sentiment_score': '0.043636', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'QCOM', 'relevance_score': '0.079921', 'ticker_sentiment_score': '0.092493', 'ticker_sentiment_label': 'Neutral'}]}"
8,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'iPhone users will soon be able to easily access their iCloud photos and videos on Windows devices | The Financial Express', 'url': 'https://www.financialexpress.com/industry/technology/iphone-users-will-soon-be-able-to-easily-access-their-icloud-photos-and-videos-on-windows-devices/2709067/', 'time_published': '20221013T063714', 'authors': [], 'summary': 'iPhone users will soon be able to easily access their iCloud photos and videos on Windows devices The Financial Express ...', 'banner_image': 'https://www.financialexpress.com/wp-content/uploads/2022/10/Untitled-design-2022-10-13T120614.050.jpg', 'source': 'The Financial Express', 'category_within_source': 'IndustryGoogleRSS', 'source_domain': 'www.financialexpress.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.104472, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.295867', 'ticker_sentiment_score': '0.050742', 'ticker_sentiment_label': 'Neutral'}]}"
9,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'ASAPP Expands World-Class Engineering Team with New India Office', 'url': 'https://www.benzinga.com/pressreleases/22/10/g29247121/asapp-expands-world-class-engineering-team-with-new-india-office', 'time_published': '20221013T073000', 'authors': ['Globe Newswire'], 'summary': 'BENGALURU, India, Oct. 13, 2022 ( GLOBE NEWSWIRE ) -- ASAPP, the AI cloud company for contact centers, is growing its world-class engineering team globally with the opening of an India office in Bengaluru, expanding its technical team, which is led by Chief Technology Officer, Priya ...', 'banner_image': '', 'source': 'Benzinga', 'category_within_source': 'General', 'source_domain': 'www.benzinga.com', 'topics': [{'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}], 'overall_sentiment_score': 0.300291, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'APG', 'relevance_score': '0.087824', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FORR', 'relevance_score': '0.087824', 'ticker_sentiment_score': '0.201679', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.087824', 'ticker_sentiment_score': '-0.015626', 'ticker_sentiment_label': 'Neutral'}]}"
