,items,sentiment_score_definition,relevance_score_definition,feed
0,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Feds investigating Activision options trade that paid off big for Diller, Geffen, von Furstenberg', 'url': 'https://www.marketwatch.com/story/feds-investigating-activision-options-trade-that-paid-off-big-for-diller-geffen-von-furstenberg-11646788529', 'time_published': '20220309T011500', 'authors': ['Dave Michaels', 'Jeffrey A. Trachtenberg'], 'summary': 'Federal prosecutors and securities regulators are investigating large bets that Barry Diller, Alexander von Furstenberg and David Geffen made on Activision Blizzard Inc. shares in January, days before the videogame maker agreed to be acquired by Microsoft Corp., according to people familiar with the', 'banner_image': 'https://images.mktw.net/im-269288/social', 'source': 'MarketWatch', 'category_within_source': 'Top Stories', 'source_domain': 'www.marketwatch.com', 'topics': [{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}], 'overall_sentiment_score': -0.049347, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'ATVI', 'relevance_score': '0.724396', 'ticker_sentiment_score': '-0.049347', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.414332', 'ticker_sentiment_score': '-0.047658', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JPM', 'relevance_score': '0.283706', 'ticker_sentiment_score': '-0.060979', 'ticker_sentiment_label': 'Neutral'}]}"
1,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""From McDonald's to TikTok, why are big brands bailing on Russia?"", 'url': 'https://www.aljazeera.com/economy/2022/3/9/from-mcdonalds-to-tiktok-why-are-big-brands-bailing-on-russia', 'time_published': '20220309T012115', 'authors': ['Erin Hale'], 'summary': 'As Russia faces unprecedented sanctions following its invasion of Ukraine, an equally extraordinary number of corporations are pulling out of the country - often going above and beyond what is required by law.', 'banner_image': 'https://www.aljazeera.com/wp-content/uploads/2021/12/mcdonalds.jpg?resize=1200%2C630', 'source': 'Al Jareeza', 'category_within_source': 'n/a', 'source_domain': 'www.aljazeera.com', 'topics': [{'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}], 'overall_sentiment_score': -0.288968, 'overall_sentiment_label': 'Somewhat-Bearish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.032984', 'ticker_sentiment_score': '-0.570662', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'EADSF', 'relevance_score': '0.032984', 'ticker_sentiment_score': '-0.526188', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'GOOG', 'relevance_score': '0.032984', 'ticker_sentiment_score': '-0.570662', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'MA', 'relevance_score': '0.032984', 'ticker_sentiment_score': '-0.236739', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'SBUX', 'relevance_score': '0.032984', 'ticker_sentiment_score': '-0.526188', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'AXP', 'relevance_score': '0.032984', 'ticker_sentiment_score': '-0.236739', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'ACN', 'relevance_score': '0.032984', 'ticker_sentiment_score': '0.010898', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MCD', 'relevance_score': '0.032984', 'ticker_sentiment_score': '-0.526188', 'ticker_sentiment_label': 'Bearish'}]}"
2,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Feds Reportedly Investigating Barry Diller And David Geffen For Options Trades Ahead Of Microsoft-Activision Sale', 'url': 'https://www.forbes.com/sites/marisadellatto/2022/03/08/feds-investigating-barry-diller-and-david-geffen-for-options-trades-ahead-of-microsoft-activision-deal-report-says/', 'time_published': '20220309T031304', 'authors': ['Mason Bissada'], 'summary': 'Diller and Geffen are under investigation for buying Activision Blizzard options days before the company announced a sale to Microsoft, the Wall Street Journal reported-but Diller denied having any prior knowledge of the deal.', 'banner_image': 'https://thumbor.forbes.com/thumbor/400x0/smart/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F616dbb5653453c722491d4d2%2F960x0.jpg%3FcropX1%3D0%26cropX2%3D371%26cropY1%3D12%26cropY2%3D383', 'source': 'Forbes', 'category_within_source': 'Business', 'source_domain': 'www.forbes.com', 'topics': [{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}], 'overall_sentiment_score': -0.121007, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'ATVI', 'relevance_score': '0.696135', 'ticker_sentiment_score': '-0.121007', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.432143', 'ticker_sentiment_score': '-0.121007', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JPM', 'relevance_score': '0.090954', 'ticker_sentiment_score': '0.00697', 'ticker_sentiment_label': 'Neutral'}]}"
3,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'DoubleVerify Holdings, Inc.  ( DV )  Q4 2021 Earnings Call Transcript', 'url': 'https://www.fool.com/earnings/call-transcripts/2022/03/08/doubleverify-holdings-inc-dv-q4-2021-earnings-call/', 'time_published': '20220309T033031', 'authors': ['Motley Fool Transcribing'], 'summary': 'DV earnings call for the period ending December 31, 2021.', 'banner_image': 'https://g.foolcdn.com/misc-assets/fool-transcripts-logo.png', 'source': 'Motley Fool', 'category_within_source': 'n/a', 'source_domain': 'www.fool.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.5855'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}], 'overall_sentiment_score': 0.19282, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.004204', 'ticker_sentiment_score': '0.032758', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DV', 'relevance_score': '0.113127', 'ticker_sentiment_score': '0.146733', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BCS', 'relevance_score': '0.004204', 'ticker_sentiment_score': '0.001957', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SCOR', 'relevance_score': '0.02522', 'ticker_sentiment_score': '0.3515', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'TTD', 'relevance_score': '0.004204', 'ticker_sentiment_score': '0.092403', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ADTH', 'relevance_score': '0.004204', 'ticker_sentiment_score': '0.337418', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NKE', 'relevance_score': '0.004204', 'ticker_sentiment_score': '0.257004', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'STQN', 'relevance_score': '0.004204', 'ticker_sentiment_score': '0.101212', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PINS', 'relevance_score': '0.004204', 'ticker_sentiment_score': '0.649696', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'FB', 'relevance_score': '0.016815', 'ticker_sentiment_score': '0.494767', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'DEO', 'relevance_score': '0.004204', 'ticker_sentiment_score': '0.069659', 'ticker_sentiment_label': 'Neutral'}]}"
4,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Not just energy and markets, Russia's war on Ukraine disrupts tech industry"", 'url': 'https://www.business-standard.com/article/international/not-just-energy-and-markets-russia-s-war-on-ukraine-disrupts-tech-industry-122030900241_1.html', 'time_published': '20220309T042600', 'authors': ['Bhaskar Chakravorti | Bloomberg'], 'summary': ""The Russian invasion of Ukraine has already had an impact on the energy and commodities markets. And there's another major industry that will take a hit: tech."", 'banner_image': 'https://bsmedia.business-standard.com/_media/bs/img/article/2022-03/09/full/1646800002-4889.jpg?im=Resize,width=640', 'source': 'Business Standard', 'category_within_source': 'Top Stories', 'source_domain': 'www.business-standard.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.194026, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.05646', 'ticker_sentiment_score': '0.064665', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SSNLF', 'relevance_score': '0.05646', 'ticker_sentiment_score': '0.064665', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.05646', 'ticker_sentiment_score': '0.064665', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GTLB', 'relevance_score': '0.05646', 'ticker_sentiment_score': '0.355698', 'ticker_sentiment_label': 'Bullish'}]}"
5,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""The secret US mission to bolster Ukraine's cyber-defences ahead of invasion"", 'url': 'https://www.ft.com/content/1fb2f592-4806-42fd-a6d5-735578651471', 'time_published': '20220309T050030', 'authors': [], 'summary': 'American soldiers and experts fanned across country during Ukrainian winter to thwart an expected Russian cyber attack', 'banner_image': 'https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fbc5fe7d4-0682-4c13-b75d-a4c5ad1cf907.jpg?source=next&fit=scale-down&dpr=2&width=240', 'source': 'Financial Times', 'category_within_source': 'Companies', 'source_domain': 'www.ft.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': -0.050027, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.192112', 'ticker_sentiment_score': '-0.049794', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FTNT', 'relevance_score': '0.038786', 'ticker_sentiment_score': '-0.051627', 'ticker_sentiment_label': 'Neutral'}]}"
6,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Low Code Development Platform Market to Reach USD 94.75 Billion by 2028; Business Digitalization to Propel Growth: Fortune Business Insights™', 'url': 'https://www.benzinga.com/pressreleases/22/03/g26054777/low-code-development-platform-market-to-reach-usd-94-75-billion-by-2028-business-digitalization-to', 'time_published': '20220309T063708', 'authors': [], 'summary': 'Pune, India, March  09, 2022   ( GLOBE NEWSWIRE )  -- The global low code development platform market size was USD 10.82 billion in 2020. The market size is expected to rise from USD 13.89 billion in 2021 to USD 94.75 billion by 2028 at a CAGR of 31.6% during the forecast period. The market is expec', 'banner_image': 'https://ml.globenewswire.com/media/05408ba1-26b1-4fdd-8f48-1af4df373348/small/fbi-logo-tm-png.png', 'source': 'Benzinga', 'category_within_source': 'General', 'source_domain': 'www.benzinga.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.019702, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.02671', 'ticker_sentiment_score': '0.000243', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PEGA', 'relevance_score': '0.02671', 'ticker_sentiment_score': '5e-05', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRM', 'relevance_score': '0.02671', 'ticker_sentiment_score': '0.00013', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NOW', 'relevance_score': '0.05339', 'ticker_sentiment_score': '0.026433', 'ticker_sentiment_label': 'Neutral'}]}"
7,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'USIBC inducts three top executives to its India Advisory Council', 'url': 'https://www.financialexpress.com/defence/usibc-inducts-three-top-executives-to-its-india-advisory-council/2455062/', 'time_published': '20220309T064714', 'authors': [], 'summary': 'The executives are heads of India operations of 3M, Dell, J&J, and Microsoft.Ramesh Ramadurai, the managing director of 3M India; Alok Ohrie from J&J, Sarthak Ranade from Dell India and Anant Maheshwari from Microsoft India, according to a statement from USIBC.', 'banner_image': 'https://www.financialexpress.com/wp-content/uploads/2022/03/US-india-ties.jpg', 'source': 'The Financial Express', 'category_within_source': 'n/a', 'source_domain': 'www.financialexpress.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}], 'overall_sentiment_score': 0.03578, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.219908', 'ticker_sentiment_score': '0.000594', 'ticker_sentiment_label': 'Neutral'}]}"
8,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Cropin strengthens leadership team; announces three new executive appointments', 'url': 'https://www.financialexpress.com/brandwagon/cropin-strengthens-leadership-team-announces-three-new-executive-appointments/2455072/', 'time_published': '20220309T065252', 'authors': [], 'summary': 'The company has appointed Mohit Pande as chief business officer, Vijay Nelson as chief product office and Sujit Janardanan as chief marketing officer', 'banner_image': 'https://www.financialexpress.com/wp-content/uploads/2022/03/Appointment.jpeg', 'source': 'The Financial Express', 'category_within_source': 'n/a', 'source_domain': 'www.financialexpress.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.029566, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.080081', 'ticker_sentiment_score': '0.039964', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.312423', 'ticker_sentiment_score': '0.029566', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AGTEF', 'relevance_score': '0.080081', 'ticker_sentiment_score': '0.019559', 'ticker_sentiment_label': 'Neutral'}]}"
9,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Atari launches a share capital increase of ca. EUR 12.5 M with the shareholders' preferential subscription rights maintained"", 'url': 'https://www.globenewswire.com/news-release/2022/03/09/2399587/0/en/Atari-launches-a-share-capital-increase-of-ca-EUR-12-5-M-with-the-shareholders-preferential-subscription-rights-maintained.html', 'time_published': '20220309T070000', 'authors': ['ATARI'], 'summary': ""Atari launches a share capital increase of ca. EUR 12.5 M with the shareholders' preferential subscription rights maintained"", 'banner_image': 'https://ml-eu.globenewswire.com/Resource/Download/67e808ad-47a9-49ec-89c7-8917ccd376fa?size=1', 'source': 'GlobeNewswire', 'category_within_source': 'n/a', 'source_domain': 'www.globenewswire.com', 'topics': [{'topic': 'IPO', 'relevance_score': '0.310843'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.999996'}], 'overall_sentiment_score': 0.000526, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.016739', 'ticker_sentiment_score': '0.037292', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SNEJF', 'relevance_score': '0.016739', 'ticker_sentiment_score': '0.037292', 'ticker_sentiment_label': 'Neutral'}]}"
