,items,sentiment_score_definition,relevance_score_definition,feed
0,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Most Expensive Art Auction Ever: Paul Allen's Collection Fetches Record $1.5 Billion"", 'url': 'https://www.forbes.com/sites/carlieporterfield/2022/11/09/most-expensive-art-auction-ever-paul-allens-collection-fetches-record-1-billion/', 'time_published': '20221110T015427', 'authors': ['Carlie Porterfield'], 'summary': ""It's the first time a single owner's art collection has broken the billion-dollar threshold-and the action hasn't ended yet."", 'banner_image': 'https://imageio.forbes.com/specials-images/imageserve/636c670dab365b9a78a74ac5/0x0.jpg?format=jpg&crop=1403,789,x0,y193,safe&width=1200', 'source': 'Forbes', 'category_within_source': 'Business', 'source_domain': 'www.forbes.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': -0.002365, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.246167', 'ticker_sentiment_score': '-0.015245', 'ticker_sentiment_label': 'Neutral'}]}"
1,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Paul Allen Collection Fetches US$1.5 Billion at Christie's"", 'url': 'https://www.barrons.com/articles/works-by-seurat-cezanne-and-van-gogh-top-100-million-in-paul-allen-sale-01668046520', 'time_published': '20221110T021500', 'authors': ['Abby Schultz'], 'summary': ""Masterworks from the late Microsoft co-founder Paul Allen's art collection totaled US$1.5 billion at a Christie's evening sale Wednesday in New York, with works by Georges Seurat, Paul Cézanne, Vincent van Gogh, Paul Gauguin, and Gustav Klimt, among others, selling for multi-millions of dollars."", 'banner_image': 'https://images.barrons.com/im-663024?width=700&height=562', 'source': 'Barrons', 'category_within_source': 'n/a', 'source_domain': 'www.barrons.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.839681'}], 'overall_sentiment_score': 0.124837, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.039418', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]}"
2,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""60% of managers and professionals lack skills in sustainability, says Microsoft's latest report | The Financial Express"", 'url': 'https://www.financialexpress.com/education-2/microsoft-unesco-sustainability-skill-skill-gap-education-climate-communication-industry-business-growth-report-training-employment/2797694/', 'time_published': '20221110T023000', 'authors': [], 'summary': ""60% of managers and professionals lack skills in sustainability, says Microsoft's latest report The Financial Express ..."", 'banner_image': 'https://www.financialexpress.com/wp-content/uploads/2022/11/Sustainability.jpg', 'source': 'The Financial Express', 'category_within_source': 'IndustryGoogleRSS', 'source_domain': 'www.financialexpress.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.50082, 'overall_sentiment_label': 'Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.150592', 'ticker_sentiment_score': '0.334321', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
3,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Vuzix  ( VUZI )  Q3 2022 Earnings Call Transcript', 'url': 'https://www.fool.com/earnings/call-transcripts/2022/11/09/vuzix-vuzi-q3-2022-earnings-call-transcript/', 'time_published': '20221110T023056', 'authors': ['Motley Fool Transcribing'], 'summary': 'VUZI earnings call for the period ending September 30, 2022.', 'banner_image': 'https://g.foolcdn.com/misc-assets/fool-transcripts-logo.png', 'source': 'Motley Fool', 'category_within_source': 'n/a', 'source_domain': 'www.fool.com', 'topics': [{'topic': 'Financial Markets', 'relevance_score': '0.839681'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.999941'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Economy - Macro', 'relevance_score': '0.158519'}], 'overall_sentiment_score': 0.304236, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.008975', 'ticker_sentiment_score': '0.071564', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'LHX', 'relevance_score': '0.008975', 'ticker_sentiment_score': '0.186147', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TONPF', 'relevance_score': '0.008975', 'ticker_sentiment_score': '0.103053', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MEDGF', 'relevance_score': '0.008975', 'ticker_sentiment_score': '0.103053', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'VUZI', 'relevance_score': '0.314485', 'ticker_sentiment_score': '0.348072', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.008975', 'ticker_sentiment_score': '0.111071', 'ticker_sentiment_label': 'Neutral'}]}"
4,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Paul Allen's Art Collection Tops $1 Bn At Christie's"", 'url': 'https://www.barrons.com/articles/paul-allen-s-art-collection-tops-1-bn-at-christie-s-01668049806', 'time_published': '20221110T031054', 'authors': ['AFP - Agence France Presse'], 'summary': ""An art collection amassed by Microsoft co-founder Paul Allen surpassed the historic $1 billion mark at Christie's Wednesday night, with a flurry of records for works by Van Gogh, Cezanne, Gauguin, Seurat and Klimt. The auction set a record for the most valuable single-owner art collection ever ..."", 'banner_image': '', 'source': 'Barrons', 'category_within_source': 'n/a', 'source_domain': 'www.barrons.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.221736, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.570165', 'ticker_sentiment_score': '0.189749', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
5,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'RingCentral  ( RNG )  Q3 2022 Earnings Call Transcript', 'url': 'https://www.fool.com/earnings/call-transcripts/2022/11/09/ringcentral-rng-q3-2022-earnings-call-transcript/', 'time_published': '20221110T033018', 'authors': ['Motley Fool Transcribing'], 'summary': 'RNG earnings call for the period ending September 30, 2022.', 'banner_image': 'https://g.foolcdn.com/misc-assets/fool-transcripts-logo.png', 'source': 'Motley Fool', 'category_within_source': 'n/a', 'source_domain': 'www.fool.com', 'topics': [{'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}], 'overall_sentiment_score': 0.293356, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'EVR', 'relevance_score': '0.005279', 'ticker_sentiment_score': '0.120825', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.005279', 'ticker_sentiment_score': '0.036919', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ZEN', 'relevance_score': '0.005279', 'ticker_sentiment_score': '0.036919', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AVYA', 'relevance_score': '0.094804', 'ticker_sentiment_score': '0.09611', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BAC', 'relevance_score': '0.005279', 'ticker_sentiment_score': '0.130412', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MS', 'relevance_score': '0.005279', 'ticker_sentiment_score': '0.130412', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'RNG', 'relevance_score': '0.094804', 'ticker_sentiment_score': '0.155889', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'VOD', 'relevance_score': '0.015837', 'ticker_sentiment_score': '0.131858', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GS', 'relevance_score': '0.005279', 'ticker_sentiment_score': '0.106193', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AEXAF', 'relevance_score': '0.005279', 'ticker_sentiment_score': '0.086039', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.010558', 'ticker_sentiment_score': '0.039198', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BCS', 'relevance_score': '0.005279', 'ticker_sentiment_score': '0.130412', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WFC', 'relevance_score': '0.005279', 'ticker_sentiment_score': '0.130412', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NOW', 'relevance_score': '0.005279', 'ticker_sentiment_score': '0.036919', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'APG', 'relevance_score': '0.005279', 'ticker_sentiment_score': '0.049201', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CHTR', 'relevance_score': '0.010558', 'ticker_sentiment_score': '0.115282', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HUBS', 'relevance_score': '0.005279', 'ticker_sentiment_score': '0.036919', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:GBP', 'relevance_score': '0.005279', 'ticker_sentiment_score': '0.049201', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.005279', 'ticker_sentiment_score': '0.049201', 'ticker_sentiment_label': 'Neutral'}]}"
6,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Paul Allen's Art Collection Sets Record With $1.5 Billion Sale"", 'url': 'https://www.wsj.com/articles/paul-allens-art-collection-sets-record-with-1-5-billion-sale-11668048273', 'time_published': '20221110T033100', 'authors': ['Kelly Crow'], 'summary': ""The auction at Christie's offered a trove of trophies from artists like Cézanne, Seurat and Botticelli."", 'banner_image': 'https://images.wsj.net/im-663003/?width=860&height=573', 'source': 'Wall Street Journal', 'category_within_source': 'Business', 'source_domain': 'www.wsj.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.016412, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.443626', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]}"
7,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Background checks and more: How IT companies are detecting moonlighting', 'url': 'https://www.business-standard.com/article/companies/background-checks-and-more-how-it-companies-are-detecting-moonlighting-122111000353_1.html', 'time_published': '20221110T041400', 'authors': ['BS Web Team'], 'summary': 'IT firms are increasingly resorting to background verification firms for additional checks on employees for moonlighting, says report ...', 'banner_image': 'https://bsmedia.business-standard.com/_media/bs/img/article/default/1221110/full-122111000353.jpg', 'source': 'Business Standard', 'category_within_source': 'Companies', 'source_domain': 'www.business-standard.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.141259, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.097854', 'ticker_sentiment_score': '0.061149', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'INFY', 'relevance_score': '0.097854', 'ticker_sentiment_score': '0.040889', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WIT', 'relevance_score': '0.097854', 'ticker_sentiment_score': '0.040889', 'ticker_sentiment_label': 'Neutral'}]}"
8,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Microsoft co-founder Paul Allen's art collection tops $1.5 billion at auction"", 'url': 'https://www.cnbc.com/2022/11/10/microsoft-co-founder-paul-allen-art-tops-1point5-billion-at-auction.html', 'time_published': '20221110T042553', 'authors': ['Robert Frank'], 'summary': 'The collection of Paul Allen, the late co-founder of Microsoft, was a treasure trove of masterpieces spanning 500 years.', 'banner_image': 'https://image.cnbcfm.com/api/v1/image/107149451-1668052384530-gettyimages-1243956724-AA_14102022_901353.jpeg?v=1668054353&w=1920&h=1080', 'source': 'CNBC', 'category_within_source': 'Business', 'source_domain': 'www.cnbc.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.144252, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.07913', 'ticker_sentiment_score': '0.330799', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
9,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Microsoft starts rolling out iCloud Photos integration on Windows 11', 'url': 'https://www.business-standard.com/article/technology/microsoft-starts-rolling-out-icloud-photos-integration-on-windows-11-122111000470_1.html', 'time_published': '20221110T054700', 'authors': ['IANS'], 'summary': 'Microsoft and Apple have collaborated on the iCloud Photos integration, and they have plans to soon bring Apple Music and Apple TV apps to Windows ...', 'banner_image': 'https://bsmedia.business-standard.com/_media/bs/img/article/2021-06/27/full/1624776017-9672.jpg?im=Resize,width=640', 'source': 'Business Standard', 'category_within_source': 'Top Stories', 'source_domain': 'www.business-standard.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.181243, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.709186', 'ticker_sentiment_score': '0.145564', 'ticker_sentiment_label': 'Neutral'}]}"
