,items,sentiment_score_definition,relevance_score_definition,feed
0,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'US stocks waver as Fed chief addresses Congress again', 'url': 'https://apnews.com/article/financial-markets-june-23-e40f06d41d37b543b68ec93a03b8fe4e', 'time_published': '20220623T052630', 'authors': [], 'summary': 'An NYSE sign is seen on the floor at the New York Stock Exchange in New York, Wednesday, June 15, 2022. Stocks are opening higher on Wall Street Thursday, June 23. The Labor Department said fewer Americans applied for jobless benefits last week as the U.S. job market remains robust. ( AP ...', 'banner_image': 'https://storage.googleapis.com/afs-prod/media/b5289d64a33946ab8b46e0e188b23616/3000.jpeg', 'source': 'Associated Press', 'category_within_source': 'Markets', 'source_domain': 'apnews.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.990678'}, {'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.94762'}, {'topic': 'Technology', 'relevance_score': '0.5'}], 'overall_sentiment_score': -0.235218, 'overall_sentiment_label': 'Somewhat-Bearish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.058802', 'ticker_sentiment_score': '-0.159639', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'JNJ', 'relevance_score': '0.058802', 'ticker_sentiment_score': '-0.159639', 'ticker_sentiment_label': 'Somewhat-Bearish'}]}"
1,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'US stocks waver as Fed chief addresses Congress again', 'url': 'https://apnews.com/article/financial-markets-june-23-e40f06d41d37b543b68ec93a03b8fe4e', 'time_published': '20220623T052630', 'authors': [], 'summary': 'US markets stable before Fed chief addresses Congress again The Associated Press ...', 'banner_image': 'https://storage.googleapis.com/afs-prod/media/b5289d64a33946ab8b46e0e188b23616/3000.jpeg', 'source': 'Associated Press', 'category_within_source': 'Markets', 'source_domain': 'apnews.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.928139'}, {'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.94762'}, {'topic': 'Technology', 'relevance_score': '0.5'}], 'overall_sentiment_score': -0.246942, 'overall_sentiment_label': 'Somewhat-Bearish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.066914', 'ticker_sentiment_score': '-0.120198', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.066914', 'ticker_sentiment_score': '-0.120198', 'ticker_sentiment_label': 'Neutral'}]}"
2,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'US stocks rise as Fed chief addresses Congress again', 'url': 'https://apnews.com/article/financial-markets-june-23-e40f06d41d37b543b68ec93a03b8fe4e', 'time_published': '20220623T052630', 'authors': [], 'summary': 'US markets stable before Fed chief addresses Congress again The Associated Press ...', 'banner_image': 'https://storage.googleapis.com/afs-prod/media/b5289d64a33946ab8b46e0e188b23616/3000.jpeg', 'source': 'Associated Press', 'category_within_source': 'Markets', 'source_domain': 'apnews.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.890401'}, {'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.87644'}, {'topic': 'Technology', 'relevance_score': '0.5'}], 'overall_sentiment_score': -0.29885, 'overall_sentiment_label': 'Somewhat-Bearish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.086964', 'ticker_sentiment_score': '0.177263', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'JNJ', 'relevance_score': '0.086964', 'ticker_sentiment_score': '0.177263', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
3,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Zacks Earnings Trends Highlights: Lennar, Microsoft, Salesforce, Target and Walmart', 'url': 'https://www.zacks.com/stock/news/1942594/zacks-earnings-trends-highlights-lennar-microsoft-salesforce-target-and-walmart', 'time_published': '20220623T080200', 'authors': ['Zacks Investment Research'], 'summary': 'Lennar, Microsoft, Salesforce, Target and Walmart have been highlighted in this Earnings Trend article.', 'banner_image': 'https://staticx-tuner.zacks.com/images/articles/main/2c/122.jpg', 'source': 'Zacks Commentary', 'category_within_source': 'n/a', 'source_domain': 'www.zacks.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.682689'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.99977'}, {'topic': 'Earnings', 'relevance_score': '0.9545'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}], 'overall_sentiment_score': -0.11618, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.072424', 'ticker_sentiment_score': '-0.00869', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TGT', 'relevance_score': '0.072424', 'ticker_sentiment_score': '-0.00869', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'LEN', 'relevance_score': '0.072424', 'ticker_sentiment_score': '-0.163713', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'WMT', 'relevance_score': '0.072424', 'ticker_sentiment_score': '-0.00869', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.03625', 'ticker_sentiment_score': '-0.00869', 'ticker_sentiment_label': 'Neutral'}]}"
4,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Shandong creates business-friendly environment for mutually beneficial cooperation', 'url': 'https://www.prnewswire.com/news-releases/shandong-creates-business-friendly-environment-for-mutually-beneficial-cooperation-301573818.html', 'time_published': '20220623T080600', 'authors': [""Information Office of the People's Government of Shandong Province""], 'summary': ""During the summit, the local government and China's Ministry of Commerce held a symposium with multinational companies to widely solicit opinions and suggestions and discuss the possible opportunities for mutually beneficial cooperation."", 'banner_image': 'https://mma.prnewswire.com/media/1845241/1.jpg?w=500', 'source': 'PR Newswire', 'category_within_source': 'n/a', 'source_domain': 'www.prnewswire.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.360215'}], 'overall_sentiment_score': 0.051892, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.117486', 'ticker_sentiment_score': '0.017324', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PCRFF', 'relevance_score': '0.117486', 'ticker_sentiment_score': '0.017324', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NSRGF', 'relevance_score': '0.117486', 'ticker_sentiment_score': '0.017324', 'ticker_sentiment_label': 'Neutral'}]}"
5,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Shandong creates business-friendly environment for mutually beneficial cooperation', 'url': 'https://www.benzinga.com/pressreleases/22/06/n27822745/shandong-creates-business-friendly-environment-for-mutually-beneficial-cooperation', 'time_published': '20220623T080600', 'authors': ['PRNewswire'], 'summary': ""Making a market-oriented, community-focused and law-based business climate to meet the highest global standards QINGDAO, China, June 23, 2022 /PRNewswire/ -- The 3rd Qingdao Multinationals Summit, hosted by the Information Office of the People's Government of Shandong Province, came to a ..."", 'banner_image': '', 'source': 'Benzinga', 'category_within_source': 'News', 'source_domain': 'www.benzinga.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}], 'overall_sentiment_score': 0.029211, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.079868', 'ticker_sentiment_score': '0.017324', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PCRFF', 'relevance_score': '0.079868', 'ticker_sentiment_score': '0.017324', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NSRGF', 'relevance_score': '0.079868', 'ticker_sentiment_score': '0.017324', 'ticker_sentiment_label': 'Neutral'}]}"
6,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Infosys shares plunge 24% so far in 2022; this brokerage maintains buy rating, sees up to 20% potential rally | The Financial Express', 'url': 'https://www.financialexpress.com/market/infosys-shares-plunge-24-so-far-in-2022-this-brokerage-maintains-buy-rating-sees-up-to-20-potential-rally/2570412/', 'time_published': '20220623T084509', 'authors': [], 'summary': 'Infosys shares have plunged 25 per cent so far this year amid, underperforming benchmark Nifty 50 which has tumbled 12%. Despite the steep correction in the stock, it has managed to outperform Nifty IT which has plummeted 29% so far this year.', 'banner_image': 'https://www.financialexpress.com/wp-content/uploads/2022/06/infosys-bloomberg-1200-1.jpg', 'source': 'The Financial Express', 'category_within_source': 'n/a', 'source_domain': 'www.financialexpress.com', 'topics': [{'topic': 'Earnings', 'relevance_score': '0.996718'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}], 'overall_sentiment_score': 0.04655, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.062434', 'ticker_sentiment_score': '0.108702', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'INFY', 'relevance_score': '0.519165', 'ticker_sentiment_score': '0.048346', 'ticker_sentiment_label': 'Neutral'}]}"
7,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Labor strikes have doubled in the past year. Is high inflation part of the reason?', 'url': 'https://www.fastcompany.com/90763525/labor-strikes-have-doubled-in-the-last-year-is-high-inflation-part-of-the-reason', 'time_published': '20220623T100139', 'authors': [], 'summary': 'Why are more workers unionizing and going on labor strikes? Fast Company ...', 'banner_image': 'https://images.fastcompany.net/image/upload/w_1280,f_auto,q_auto,fl_lossy/wp-cms/uploads/2022/06/p-1-labor-strikes.jpg', 'source': 'Fast Company', 'category_within_source': 'n/a', 'source_domain': 'www.fastcompany.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '0.5'}], 'overall_sentiment_score': -0.122745, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.06712', 'ticker_sentiment_score': '-0.133835', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SBUX', 'relevance_score': '0.133767', 'ticker_sentiment_score': '-0.122745', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.06712', 'ticker_sentiment_score': '-0.133835', 'ticker_sentiment_label': 'Neutral'}]}"
8,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""In EY's split, fortune may favour the dull"", 'url': 'https://www.economist.com/business/2022/06/23/in-eys-split-fortune-may-favour-the-dull', 'time_published': '20220623T100217', 'authors': [], 'summary': 'Bean-counters v ...', 'banner_image': 'https://www.economist.com/img/b/1280/720/90/media-assets/image/20220625_WBD000.jpg', 'source': 'The Economist', 'category_within_source': 'Business', 'source_domain': 'www.economist.com', 'topics': [{'topic': 'Mergers & Acquisitions', 'relevance_score': '0.310843'}, {'topic': 'IPO', 'relevance_score': '0.310843'}, {'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': -0.230506, 'overall_sentiment_label': 'Somewhat-Bearish', 'ticker_sentiment': [{'ticker': 'ACN', 'relevance_score': '0.077972', 'ticker_sentiment_score': '-0.307632', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'MSFT', 'relevance_score': '0.039033', 'ticker_sentiment_score': '-0.630404', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'CAPMF', 'relevance_score': '0.039033', 'ticker_sentiment_score': '-0.388179', 'ticker_sentiment_label': 'Bearish'}]}"
9,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Is Fidelity High Dividend ETF  ( FDVV )  a Strong ETF Right Now?', 'url': 'https://www.zacks.com/stock/news/1942632/is-fidelity-high-dividend-etf-fdvv-a-strong-etf-right-now', 'time_published': '20220623T102006', 'authors': ['Zacks Investment Research'], 'summary': 'Smart Beta ETF report for ...', 'banner_image': 'https://staticx-tuner.zacks.com/images/default_article_images/default105.jpg', 'source': 'Zacks Commentary', 'category_within_source': 'n/a', 'source_domain': 'www.zacks.com', 'topics': [{'topic': 'Energy & Transportation', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.044453, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'CVX', 'relevance_score': '0.111929', 'ticker_sentiment_score': '0.000743', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.111929', 'ticker_sentiment_score': '0.000743', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.111929', 'ticker_sentiment_score': '0.000743', 'ticker_sentiment_label': 'Neutral'}]}"
