,items,sentiment_score_definition,relevance_score_definition,feed
0,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Morning Scan: All the big stories to get you started for the day', 'url': 'https://www.moneycontrol.com/news/trends/morning-scan-all-the-big-stories-to-get-you-started-for-the-day-295-9130431.html', 'time_published': '20220905T020623', 'authors': [], 'summary': 'A round-up of the biggest articles from newspapers ...', 'banner_image': 'https://images.moneycontrol.com/static-mcnews/2021/07/Piyush-goyal.jpg?impolicy=website&width=168&height=118', 'source': 'Money Control', 'category_within_source': 'Business', 'source_domain': 'www.moneycontrol.com', 'topics': [{'topic': 'IPO', 'relevance_score': '0.310843'}, {'topic': 'Financial Markets', 'relevance_score': '0.87644'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}], 'overall_sentiment_score': 0.222868, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.07887', 'ticker_sentiment_score': '0.217979', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.07887', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SBKFF', 'relevance_score': '0.039483', 'ticker_sentiment_score': '0.129275', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DSSMY', 'relevance_score': '0.039483', 'ticker_sentiment_score': '0.174807', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'HDB', 'relevance_score': '0.039483', 'ticker_sentiment_score': '0.129275', 'ticker_sentiment_label': 'Neutral'}]}"
1,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Here's what $10 a month gets you from the top cloud storage services"", 'url': 'https://www.fastcompany.com/90783214/online-storage-comparison-2022', 'time_published': '20220905T040518', 'authors': [], 'summary': 'How to choose an online storage plan Fast Company ...', 'banner_image': 'https://images.fastcompany.net/image/upload/w_1280,f_auto,q_auto,fl_lossy/wp-cms/uploads/2022/09/p-1-online-storage-comparison-2022.jpg', 'source': 'Fast Company', 'category_within_source': 'n/a', 'source_domain': 'www.fastcompany.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.162238, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.204647', 'ticker_sentiment_score': '0.20665', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.33446', 'ticker_sentiment_score': '0.288032', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'DBX', 'relevance_score': '0.137278', 'ticker_sentiment_score': '0.029882', 'ticker_sentiment_label': 'Neutral'}]}"
2,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""US stock market investments can fund your kid's foreign education - Here's how | The Financial Express"", 'url': 'https://www.financialexpress.com/investing-abroad/featured-stories/us-stock-market-investments-can-fund-your-kids-foreign-education-heres-how/2655618/', 'time_published': '20220905T065907', 'authors': [], 'summary': ""US stock market investments can fund your kid's foreign education - Here's how The Financial Express ..."", 'banner_image': 'https://www.financialexpress.com/wp-content/uploads/2022/09/13.jpg', 'source': 'The Financial Express', 'category_within_source': 'MoneyGoogleRSS', 'source_domain': 'www.financialexpress.com', 'topics': [{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.538269'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}], 'overall_sentiment_score': 0.07931, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.096283', 'ticker_sentiment_score': '0.330903', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TSLA', 'relevance_score': '0.096283', 'ticker_sentiment_score': '0.330903', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'FOREX:INR', 'relevance_score': '0.532043', 'ticker_sentiment_score': '-0.006704', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.371523', 'ticker_sentiment_score': '-0.005327', 'ticker_sentiment_label': 'Neutral'}]}"
3,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'TikTok data breach claims put Chinese short video app back in spotlight', 'url': 'https://www.scmp.com/tech/big-tech/article/3191392/tiktok-data-breach-claims-put-bytedances-short-video-app-back', 'time_published': '20220905T085835', 'authors': ['Bloomberg'], 'summary': 'Cybersecurity analysts tweeted about the discovery of an insecure server on Monday, but claims of leaked personal data are inconclusive.', 'banner_image': 'https://img.i-scmp.com/cdn-cgi/image/fit=contain,width=425,format=auto/sites/default/files/styles/768x768/public/d8/images/canvas/2022/09/05/0946b160-3111-4274-a0ab-887d815d3414_59bbc8d7.jpg?itok=oP-vZFQD&v=1662367832', 'source': 'South China Morning Post', 'category_within_source': 'Business', 'source_domain': 'www.scmp.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}], 'overall_sentiment_score': -0.080631, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.160277', 'ticker_sentiment_score': '-0.20085', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'ORCL', 'relevance_score': '0.053749', 'ticker_sentiment_score': '0.044806', 'ticker_sentiment_label': 'Neutral'}]}"
4,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Should You Invest in the iShares U.S. Technology ETF  ( IYW ) ?', 'url': 'https://www.zacks.com/stock/news/1976318/should-you-invest-in-the-ishares-us-technology-etf-iyw', 'time_published': '20220905T102006', 'authors': ['Zacks Investment Research'], 'summary': 'Sector ETF report for ...', 'banner_image': 'https://staticx-tuner.zacks.com/images/default_article_images/default182.jpg', 'source': 'Zacks Commentary', 'category_within_source': 'n/a', 'source_domain': 'www.zacks.com', 'topics': [{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.184924, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'BLK', 'relevance_score': '0.061315', 'ticker_sentiment_score': '0.032', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.122269', 'ticker_sentiment_score': '0.278847', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.061315', 'ticker_sentiment_score': '0.243217', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.122269', 'ticker_sentiment_score': '0.278847', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
5,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Connected Cow and Farm Market Size, Emerging Demands [2022] | Growth Factors, Latest Innovations, Key Drivers, Future Prospects, Growth Opportunities, Developed Regions Data, Economic Factors, Key Suppliers and SWOT Analysis Till 2028', 'url': 'https://www.benzinga.com/pressreleases/22/09/g28746922/connected-cow-and-farm-market-size-emerging-demands-2022-growth-factors-latest-innovations-key-dri', 'time_published': '20220905T103319', 'authors': ['Globe Newswire'], 'summary': 'Pune, Sept. 05, 2022 ( GLOBE NEWSWIRE ) -- Global ""Connected Cow and Farm Market"" 2022-2028 report discovers comprehensive insights on key manufacturers with share information, market size and projection, key dynamics, growth factors, and new company profiles.', 'banner_image': '', 'source': 'Benzinga', 'category_within_source': 'News', 'source_domain': 'www.benzinga.com', 'topics': [{'topic': 'Earnings', 'relevance_score': '0.658903'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}], 'overall_sentiment_score': 0.186677, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.124057', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FJTSF', 'relevance_score': '0.124057', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]}"
6,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': '3 ETFs That Are All You Need for Retirement', 'url': 'https://www.fool.com/investing/2022/09/05/3-etfs-that-are-all-you-need-for-retirement/', 'time_published': '20220905T110900', 'authors': ['Dave Kovaleski'], 'summary': 'These three ETFs will provide investors with diversification, growth, and balance in different market cycles.', 'banner_image': 'https://media.ycharts.com/charts/6b1a33f347e337ddeefece3079016cf3.png', 'source': 'Motley Fool', 'category_within_source': 'n/a', 'source_domain': 'www.fool.com', 'topics': [{'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Earnings', 'relevance_score': '0.161647'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}], 'overall_sentiment_score': 0.243347, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.116631', 'ticker_sentiment_score': '0.128835', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'VLO', 'relevance_score': '0.058472', 'ticker_sentiment_score': '0.190003', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CAH', 'relevance_score': '0.058472', 'ticker_sentiment_score': '0.190003', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'IVZ', 'relevance_score': '0.174167', 'ticker_sentiment_score': '0.199946', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
7,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Where Will AMD Be in 5 Years?', 'url': 'https://www.fool.com/investing/2022/09/05/where-will-amd-be-in-5-years/', 'time_published': '20220905T111500', 'authors': ['Harsh Chauhan'], 'summary': 'The chipmaker has been beaten down badly in 2022, but investors need to look at the bigger picture.', 'banner_image': 'https://media.ycharts.com/charts/3d2279bc3c70cc9fe078c6e90a6b88d2.png', 'source': 'Motley Fool', 'category_within_source': 'n/a', 'source_domain': 'www.fool.com', 'topics': [{'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.967645'}, {'topic': 'Technology', 'relevance_score': '0.5'}], 'overall_sentiment_score': 0.359418, 'overall_sentiment_label': 'Bullish', 'ticker_sentiment': [{'ticker': 'AMD', 'relevance_score': '0.662741', 'ticker_sentiment_score': '0.523097', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.04028', 'ticker_sentiment_score': '0.114779', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SNEJF', 'relevance_score': '0.04028', 'ticker_sentiment_score': '0.114779', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'INTC', 'relevance_score': '0.313817', 'ticker_sentiment_score': '0.255879', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
8,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Can the Videogame Industry Overcome Its Recent Challenges?', 'url': 'https://www.zacks.com/stock/news/1976368/can-the-videogame-industry-overcome-its-recent-challenges', 'time_published': '20220905T114800', 'authors': ['Zacks Investment Research'], 'summary': 'All major videogame makers like Microsoft Corporation (MSFT), Sony Corporation (SONY), Nintendo (NTDOY) and Activision Blizzard (ATVI) have been suffering owing to poor videogame sales.', 'banner_image': 'https://staticx-tuner.zacks.com/images/articles/main/58/2611.jpg', 'source': 'Zacks Commentary', 'category_within_source': 'n/a', 'source_domain': 'www.zacks.com', 'topics': [{'topic': 'Earnings', 'relevance_score': '0.495866'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': -0.0726, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'ATVI', 'relevance_score': '0.218423', 'ticker_sentiment_score': '-0.138321', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.30211', 'ticker_sentiment_score': '-0.049962', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SNEJF', 'relevance_score': '0.30211', 'ticker_sentiment_score': '0.022694', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NTDOF', 'relevance_score': '0.088309', 'ticker_sentiment_score': '-0.007425', 'ticker_sentiment_label': 'Neutral'}]}"
9,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Hackers using fake Google Translate app to infect PCs with crypto mining malware: Full details | The Financial Express', 'url': 'https://www.financialexpress.com/industry/technology/hackers-using-fake-google-translate-app-to-infect-pcs-with-crypto-mining-malware-full-details/2656080/', 'time_published': '20220905T122454', 'authors': [], 'summary': 'Hackers using fake Google Translate app to infect PCs with crypto mining malware: Full details The Financial Express ...', 'banner_image': 'https://www.financialexpress.com/wp-content/uploads/2022/09/cyber-crime-final.jpg', 'source': 'The Financial Express', 'category_within_source': 'IndustryGoogleRSS', 'source_domain': 'www.financialexpress.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': -0.033959, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.090474', 'ticker_sentiment_score': '0.051913', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.573651', 'ticker_sentiment_score': '0.074163', 'ticker_sentiment_label': 'Neutral'}]}"
