,items,sentiment_score_definition,relevance_score_definition,feed
0,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'DocuSign  ( DOCU )  Q2 2023 Earnings Call Transcript', 'url': 'https://www.fool.com/earnings/call-transcripts/2022/09/08/docusign-docu-q2-2023-earnings-call-transcript/', 'time_published': '20220909T023022', 'authors': ['Motley Fool Transcribing'], 'summary': 'DOCU earnings call for the period ending June 30, 2022.', 'banner_image': 'https://g.foolcdn.com/misc-assets/fool-transcripts-logo.png', 'source': 'Motley Fool', 'category_within_source': 'n/a', 'source_domain': 'www.fool.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.998356'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}], 'overall_sentiment_score': 0.299392, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'EVR', 'relevance_score': '0.005065', 'ticker_sentiment_score': '0.094136', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.010129', 'ticker_sentiment_score': '0.0993', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'C', 'relevance_score': '0.005065', 'ticker_sentiment_score': '0.100047', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BAC', 'relevance_score': '0.005065', 'ticker_sentiment_score': '0.100047', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MS', 'relevance_score': '0.005065', 'ticker_sentiment_score': '0.084927', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GS', 'relevance_score': '0.015194', 'ticker_sentiment_score': '0.086949', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DOCU', 'relevance_score': '0.146056', 'ticker_sentiment_score': '0.214715', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.005065', 'ticker_sentiment_score': '0.077795', 'ticker_sentiment_label': 'Neutral'}]}"
1,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Google pays billions annually to remain top search engine: US Justice Dept', 'url': 'https://www.business-standard.com/article/companies/google-pays-hefty-sums-to-remain-top-search-engine-says-us-justice-dept-122090900155_1.html', 'time_published': '20220909T032600', 'authors': ['Leah Nylen | Bloomberg'], 'summary': 'DOJ attorney Kenneth Dintzer didn\'t disclose how much Google spends to be the default search engine on most browsers and all US mobile phones, but described the payments as ""enormous numbers"" ...', 'banner_image': 'https://bsmedia.business-standard.com/_media/bs/img/article/2022-02/02/full/1643789775-3091.jpg?im=Resize,width=640', 'source': 'Business Standard', 'category_within_source': 'Companies', 'source_domain': 'www.business-standard.com', 'topics': [{'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}], 'overall_sentiment_score': 0.076347, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.060388', 'ticker_sentiment_score': '-0.042999', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SSNLF', 'relevance_score': '0.120431', 'ticker_sentiment_score': '-0.037425', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TMUS', 'relevance_score': '0.060388', 'ticker_sentiment_score': '-0.050102', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.711131', 'ticker_sentiment_score': '0.107563', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.060388', 'ticker_sentiment_score': '-0.042999', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.060388', 'ticker_sentiment_score': '0.010029', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSI', 'relevance_score': '0.060388', 'ticker_sentiment_score': '-0.050102', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'T', 'relevance_score': '0.060388', 'ticker_sentiment_score': '-0.050102', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'VZ', 'relevance_score': '0.060388', 'ticker_sentiment_score': '-0.050102', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'EXPE', 'relevance_score': '0.060388', 'ticker_sentiment_score': '0.065', 'ticker_sentiment_label': 'Neutral'}]}"
2,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Amazon, Apple to provide digital training to women in Indo-Pacific', 'url': 'https://www.business-standard.com/article/economy-policy/amazon-apple-to-provide-digital-training-to-women-in-indo-pacific-122090900293_1.html', 'time_published': '20220909T052300', 'authors': ['Eric Martin | Bloomberg'], 'summary': 'The program, undertaken within the broader 14-nation Indo-Pacific Economic Framework for Prosperity, is focused on Brunei, Fiji, India, Indonesia, Malaysia, the Philippines, Thailand and Vietnam.', 'banner_image': 'https://bsmedia.business-standard.com/_media/bs/img/article/2022-09/09/full/1662700928-3991.jpg', 'source': 'Business Standard', 'category_within_source': 'Economy', 'source_domain': 'www.business-standard.com', 'topics': [{'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}], 'overall_sentiment_score': 0.362756, 'overall_sentiment_label': 'Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.085324', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PYPL', 'relevance_score': '0.085324', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.169676', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.085324', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CSCO', 'relevance_score': '0.085324', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MA', 'relevance_score': '0.085324', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'IBM', 'relevance_score': '0.085324', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'V', 'relevance_score': '0.169676', 'ticker_sentiment_score': '0.119393', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMT', 'relevance_score': '0.085324', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HPQ', 'relevance_score': '0.085324', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DELL', 'relevance_score': '0.085324', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]}"
3,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'US stocks rise broadly, remain on track for weekly gains', 'url': 'https://apnews.com/article/inflation-china-japan-70a2487abcf14096c29f151030688399', 'time_published': '20220909T063847', 'authors': [], 'summary': 'Wall Street futures rise on Fed Chair comments The Associated Press ...', 'banner_image': 'https://storage.googleapis.com/afs-prod/media/ed180de5b5124945bd3dd773bb188656/3000.jpeg', 'source': 'Associated Press', 'category_within_source': 'Markets', 'source_domain': 'apnews.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.928139'}, {'topic': 'Financial Markets', 'relevance_score': '0.316726'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.043595, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.103331', 'ticker_sentiment_score': '0.231911', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'DOCU', 'relevance_score': '0.103331', 'ticker_sentiment_score': '0.18413', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
4,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Stocks end broadly higher, breaking a 3-week losing streak', 'url': 'https://apnews.com/article/inflation-china-japan-70a2487abcf14096c29f151030688399', 'time_published': '20220909T063847', 'authors': [], 'summary': 'US stocks rise broadly, remain on track for weekly gains The Associated Press ...', 'banner_image': 'https://storage.googleapis.com/afs-prod/media/ed180de5b5124945bd3dd773bb188656/3000.jpeg', 'source': 'Associated Press', 'category_within_source': 'Markets', 'source_domain': 'apnews.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.928139'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}], 'overall_sentiment_score': 0.150356, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.068112', 'ticker_sentiment_score': '0.216039', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'DOCU', 'relevance_score': '0.068112', 'ticker_sentiment_score': '0.171698', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'WFC', 'relevance_score': '0.068112', 'ticker_sentiment_score': '-0.063556', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'XOM', 'relevance_score': '0.068112', 'ticker_sentiment_score': '-0.058907', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.068112', 'ticker_sentiment_score': '0.07419', 'ticker_sentiment_label': 'Neutral'}]}"
5,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Top 5 long-term themes in the US stock market to consider for investments | The Financial Express', 'url': 'https://www.financialexpress.com/investing-abroad/featured-stories/top-5-long-term-themes-in-the-us-stock-market-to-consider-for-investments/2660797/', 'time_published': '20220909T070504', 'authors': [], 'summary': 'Top 5 long-term themes in the US stock market to consider for investments The Financial Express ...', 'banner_image': 'https://www.financialexpress.com/wp-content/uploads/2022/09/6-6.jpg', 'source': 'The Financial Express', 'category_within_source': 'IndustryGoogleRSS', 'source_domain': 'www.financialexpress.com', 'topics': [{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.905476'}], 'overall_sentiment_score': 0.168463, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.054483', 'ticker_sentiment_score': '0.234005', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MRNA', 'relevance_score': '0.054483', 'ticker_sentiment_score': '0.069007', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PFE', 'relevance_score': '0.054483', 'ticker_sentiment_score': '0.069007', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BNTX', 'relevance_score': '0.054483', 'ticker_sentiment_score': '0.069007', 'ticker_sentiment_label': 'Neutral'}]}"
6,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Stocks Higher, Britain Mourns, Apple, Tesla, Kroger And DocuSign In Focus - Five Things To Know', 'url': 'https://www.thestreet.com/markets/stocks-higher-britain-mourns-apple-tesla-kroger-5-things-to-know', 'time_published': '20220909T090200', 'authors': ['Martin Baccardax'], 'summary': ""Stock futures higher as dollar retreats. Britain mourns Queen Elizabeth, King Charles III to address nation. Apple overtakes Tesla as market's most-shorted stock. Kroger earnings in focus as shoppers navigate food inflation and DocuSign soars after q2 earnings beat, solid outlook."", 'banner_image': 'https://www.thestreet.com/.image/ar_16:9%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cg_faces:center%2Cq_auto:good%2Cw_620/MTkxNDk2MzY5MTAwMzAxOTg3/burger_king-1.jpg', 'source': 'The Street', 'category_within_source': 'n/a', 'source_domain': 'www.thestreet.com', 'topics': [{'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.769861'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.999987'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.96136'}, {'topic': 'Economy - Macro', 'relevance_score': '0.158519'}], 'overall_sentiment_score': 0.158884, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.061949', 'ticker_sentiment_score': '0.11403', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TGT', 'relevance_score': '0.061949', 'ticker_sentiment_score': '0.021083', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.214394', 'ticker_sentiment_score': '0.15053', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TSLA', 'relevance_score': '0.214394', 'ticker_sentiment_score': '0.15053', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'KR', 'relevance_score': '0.154059', 'ticker_sentiment_score': '0.006715', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'LDNXF', 'relevance_score': '0.030998', 'ticker_sentiment_score': '-0.095011', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DOCU', 'relevance_score': '0.154059', 'ticker_sentiment_score': '0.054993', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WMT', 'relevance_score': '0.061949', 'ticker_sentiment_score': '0.021083', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:EUR', 'relevance_score': '0.030998', 'ticker_sentiment_score': '0.083565', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.061949', 'ticker_sentiment_score': '0.160638', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
7,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Microsoft  ( NASDAQ:MSFT ) , Amazon.com  ( NASDAQ:AMZN )  - 3 Federal Reserve Speakers Among Biggest Macro Catalysts Today', 'url': 'https://www.benzinga.com/news/22/09/28807257/3-federal-reserve-speakers-among-biggest-macro-catalysts-today', 'time_published': '20220909T090519', 'authors': ['Lisa Levin'], 'summary': ""U.S. stocks closed higher on Thursday with the Nasdaq Composite gaining 0.6% amid a rise in Amazon.com, Inc. AMZN and Microsoft Corporation MSFT shares. Let's have a look at the major economic events scheduled for today. Federal Reserve Bank of Chicago President Charles Evans is set to speak at ..."", 'banner_image': 'https://cdn.benzinga.com/files/images/story/2022/09/09/image-federal-reserve.jpeg?width=1200&height=800&fit=crop', 'source': 'Benzinga', 'category_within_source': 'Markets', 'source_domain': 'www.benzinga.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.682689'}, {'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.113542, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'BKR', 'relevance_score': '0.258351', 'ticker_sentiment_score': '-0.153275', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'MSFT', 'relevance_score': '0.490323', 'ticker_sentiment_score': '0.535653', 'ticker_sentiment_label': 'Bullish'}]}"
8,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Companies are  ( quietly )  dropping vaccine mandates', 'url': 'https://www.axios.com/2022/09/09/companies-are-dropping-vaccine-mandates', 'time_published': '20220909T093007', 'authors': ['Emily Peck', '/authors/epeck'], 'summary': 'Companies are dropping vaccine mandates ...', 'banner_image': 'https://images.axios.com/f4uK5gWi9Q3tadaC4-BNMEKeGfc=/0x0:1920x1080/1920x1080/2022/09/08/1662664806433.jpg?w=1920', 'source': 'Axios', 'category_within_source': 'Business', 'source_domain': 'www.axios.com', 'topics': [{'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}], 'overall_sentiment_score': -0.004825, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.065327', 'ticker_sentiment_score': '-0.019053', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.065327', 'ticker_sentiment_score': '0.059055', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.065327', 'ticker_sentiment_score': '0.059055', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GS', 'relevance_score': '0.065327', 'ticker_sentiment_score': '-0.032207', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JPM', 'relevance_score': '0.065327', 'ticker_sentiment_score': '-0.032207', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BA', 'relevance_score': '0.065327', 'ticker_sentiment_score': '0.059055', 'ticker_sentiment_label': 'Neutral'}]}"
9,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'The Best Real Estate Dividend Stock for a Decade of Passive Income', 'url': 'https://www.fool.com/investing/2022/09/09/the-best-real-estate-dividend-stock-for-a-decade-o/', 'time_published': '20220909T100300', 'authors': ['Courtney Carlsen'], 'summary': 'This real estate investment trust is in a fast-growing industry and has increased its dividend for 17 consecutive years.', 'banner_image': 'https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F699557%2Fdata-processing-center-microchips.jpg&w=700&op=resize', 'source': 'Motley Fool', 'category_within_source': 'n/a', 'source_domain': 'www.fool.com', 'topics': [{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}], 'overall_sentiment_score': 0.312118, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.056275', 'ticker_sentiment_score': '-0.081904', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.056275', 'ticker_sentiment_score': '-0.081904', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ORCL', 'relevance_score': '0.056275', 'ticker_sentiment_score': '-0.081904', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DLR', 'relevance_score': '0.167709', 'ticker_sentiment_score': '0.088548', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.056275', 'ticker_sentiment_score': '-0.081904', 'ticker_sentiment_label': 'Neutral'}]}"
