,items,sentiment_score_definition,relevance_score_definition,feed
0,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Microsoft's $69B Activision Deal Voted Down By FTC - But Video Game Firm's CEO Confident 'Deal Will Close' - Microsoft  ( NASDAQ:MSFT ) , Activision Blizzard  ( NASDAQ:ATVI ) "", 'url': 'https://www.benzinga.com/general/gaming/22/12/30016941/microsofts-69b-activision-deal-voted-down-by-ftc-but-video-game-firms-ceo-confident-deal-will-clos', 'time_published': '20221209T014233', 'authors': ['Shivdeep Dhaliwal'], 'summary': ""The U.S. Federal Trade Commission says it is seeking to block Microsoft Corporation's MSFT $69 billion acquisition of Activision Blizzard, Inc ATVI."", 'banner_image': 'https://cdn.benzinga.com/files/images/story/2022/12/08/shutterstock_2108556695.jpg?width=1200&height=800&fit=crop', 'source': 'Benzinga', 'category_within_source': 'General', 'source_domain': 'www.benzinga.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.231693, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'ATVI', 'relevance_score': '0.605937', 'ticker_sentiment_score': '0.219551', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.605937', 'ticker_sentiment_score': '0.452157', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'DSSMY', 'relevance_score': '0.135347', 'ticker_sentiment_score': '0.363357', 'ticker_sentiment_label': 'Bullish'}]}"
1,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Domo  ( DOMO )  Q3 2023 Earnings Call Transcript', 'url': 'https://www.fool.com/earnings/call-transcripts/2022/12/08/domo-domo-q3-2023-earnings-call-transcript/', 'time_published': '20221209T023035', 'authors': ['Motley Fool Transcribing'], 'summary': 'DOMO earnings call for the period ending September 30, 2022.', 'banner_image': 'https://g.foolcdn.com/misc-assets/fool-transcripts-logo.png', 'source': 'Motley Fool', 'category_within_source': 'n/a', 'source_domain': 'www.fool.com', 'topics': [{'topic': 'Financial Markets', 'relevance_score': '0.955357'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}], 'overall_sentiment_score': 0.324289, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.008663', 'ticker_sentiment_score': '0.161925', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'SNEJF', 'relevance_score': '0.008663', 'ticker_sentiment_score': '0.161925', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NOA', 'relevance_score': '0.008663', 'ticker_sentiment_score': '0.188674', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'RKUNF', 'relevance_score': '0.034642', 'ticker_sentiment_score': '0.175281', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MS', 'relevance_score': '0.008663', 'ticker_sentiment_score': '0.208366', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'PEP', 'relevance_score': '0.008663', 'ticker_sentiment_score': '0.161925', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'DOMO', 'relevance_score': '0.222288', 'ticker_sentiment_score': '0.303767', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'DIS', 'relevance_score': '0.008663', 'ticker_sentiment_score': '0.161925', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'FOREX:JPY', 'relevance_score': '0.008663', 'ticker_sentiment_score': '0.00763', 'ticker_sentiment_label': 'Neutral'}]}"
2,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Microsoft's big buy of Activision may be blocked by Federal Trade Commission"", 'url': 'https://www.foxbusiness.com/technology/microsoft-activition-block-federal-trade-commission', 'time_published': '20221209T025405', 'authors': [], 'summary': ""The Federal Trade Commission filed a complaint on Thursday, suing Microsoft's anticipated takeover of the video game company Activision Blizzard, valued at $69 billion. The FTC claims the deal could give Microsoft's Xbox game console and game subscription business an unfair advantage over its ..."", 'banner_image': 'https://cf-images.us-east-1.prod.boltdns.net/v1/static/854081161001/9df0d0b5-3305-4e1d-a5b7-1e57dbee1664/54fe5e60-2e54-4216-9e35-066b07133d20/1280x720/match/image.jpg', 'source': 'Fox Business News', 'category_within_source': 'n/a', 'source_domain': 'www.foxbusiness.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': -0.057585, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'ATVI', 'relevance_score': '0.390092', 'ticker_sentiment_score': '-0.15377', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'MSFT', 'relevance_score': '0.641573', 'ticker_sentiment_score': '-0.111118', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SNEJF', 'relevance_score': '0.081276', 'ticker_sentiment_score': '0.083502', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NTDOF', 'relevance_score': '0.081276', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]}"
3,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'US Stocks rebound on bargain hunting', 'url': 'https://www.business-standard.com/article/news-cm/us-stocks-rebound-on-bargain-hunting-122120901153_1.html', 'time_published': '20221209T040700', 'authors': ['Capital Market'], 'summary': ""Market participants were awating for Friday's producer price index and the University of Michigan's consumer sentiment survey which would further helps to signals the outlook for interest rates hike pace. At the close of trade, the Dow Jones Industrial Average index was up 183.56 points, or ..."", 'banner_image': 'https://bsmedia.business-standard.com/_media/bs/img/article/default/1221209/full-122120901153.jpg', 'source': 'Business Standard', 'category_within_source': 'GoogleRSS', 'source_domain': 'www.business-standard.com', 'topics': [{'topic': 'Life Sciences', 'relevance_score': '0.2'}, {'topic': 'Manufacturing', 'relevance_score': '0.2'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}], 'overall_sentiment_score': 0.069322, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.11983', 'ticker_sentiment_score': '0.107485', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.11983', 'ticker_sentiment_score': '0.107485', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.11983', 'ticker_sentiment_score': '0.107485', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AZRE', 'relevance_score': '0.11983', 'ticker_sentiment_score': '-0.066592', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WIT', 'relevance_score': '0.11983', 'ticker_sentiment_score': '-0.066592', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'IBN', 'relevance_score': '0.11983', 'ticker_sentiment_score': '-0.066592', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HDB', 'relevance_score': '0.11983', 'ticker_sentiment_score': '-0.066592', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'INFY', 'relevance_score': '0.11983', 'ticker_sentiment_score': '-0.066592', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MRNA', 'relevance_score': '0.11983', 'ticker_sentiment_score': '0.178219', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TTM', 'relevance_score': '0.11983', 'ticker_sentiment_score': '-0.066592', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WNS', 'relevance_score': '0.11983', 'ticker_sentiment_score': '-0.066592', 'ticker_sentiment_label': 'Neutral'}]}"
4,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'What 2022 Taught Us About Equity Market Sectors', 'url': 'https://www.benzinga.com/markets/22/12/30018242/what-2022-taught-us-about-equity-market-sectors', 'time_published': '20221209T055306', 'authors': ['CME Group'], 'summary': ""In 2022, equity markets experienced multiple, competing forces that created an inordinate amount of uncertainty resulting in significant divergence in performance amongst equity sectors CME Group's sector futures provide a granular toolset to capture opportunities and manage risk affecting ..."", 'banner_image': 'https://cdn.benzinga.com/files/images/story/2022/12/09/shutterstock_1022926681.jpg?width=1200&height=800&fit=crop', 'source': 'Benzinga', 'category_within_source': 'Markets', 'source_domain': 'www.benzinga.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.576289'}, {'topic': 'Financial Markets', 'relevance_score': '0.999941'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}], 'overall_sentiment_score': 0.079839, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.038969', 'ticker_sentiment_score': '-0.102547', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CME', 'relevance_score': '0.304114', 'ticker_sentiment_score': '0.047863', 'ticker_sentiment_label': 'Neutral'}]}"
5,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'US FTC sues Microsoft to block its $69 bn Activision Blizzard acquisition', 'url': 'https://www.business-standard.com/article/technology/us-ftc-sues-microsoft-to-block-its-69-bn-activision-blizzard-acquisition-122120900272_1.html', 'time_published': '20221209T061400', 'authors': ['IANS'], 'summary': ""The US Federal Trade Commission ( FTC ) has sued tech giant Microsoft from acquiring leading video game developer Activision Blizzard and its blockbuster game 'Call of Duty' for $69 billion."", 'banner_image': 'https://bsmedia.business-standard.com/_media/bs/img/article/2021-07/20/full/1626719534-4617.jpg?im=Resize,width=640', 'source': 'Business Standard', 'category_within_source': 'GoogleRSS', 'source_domain': 'www.business-standard.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.089582, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'ATVI', 'relevance_score': '0.45283', 'ticker_sentiment_score': '0.131205', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.517534', 'ticker_sentiment_score': '-0.049793', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DSSMY', 'relevance_score': '0.236588', 'ticker_sentiment_score': '0.381675', 'ticker_sentiment_label': 'Bullish'}]}"
6,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""All you need to know about Theranos' former COO Ramesh 'Sunny' Balwani"", 'url': 'https://www.business-standard.com/article/current-affairs/everything-you-need-to-know-about-theranos-former-coo-sunny-balwani-122120900321_1.html', 'time_published': '20221209T063600', 'authors': ['BS Web Team'], 'summary': 'In what is considered to be one of the biggest frauds in Silicon Valley, Balwani was convicted on all 12 charges in July for his role at Theranos. He has been sentenced to a prison term of 13 years ...', 'banner_image': 'https://bsmedia.business-standard.com/_media/bs/img/article/2022-12/08/full/1670465626-559.jpg?im=Resize,width=640', 'source': 'Business Standard', 'category_within_source': 'Top Stories', 'source_domain': 'www.business-standard.com', 'topics': [{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}], 'overall_sentiment_score': -0.055473, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.077593', 'ticker_sentiment_score': '0.196072', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NYT', 'relevance_score': '0.154455', 'ticker_sentiment_score': '0.084835', 'ticker_sentiment_label': 'Neutral'}]}"
7,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Asian shares advance on back of Wall Street gains', 'url': 'https://apnews.com/article/inflation-asia-covid-economy-china-75495d5a529db24ea5f8caf3a8f5af74', 'time_published': '20221209T071400', 'authors': [], 'summary': 'People walk by monitors showing an exchange rate of the Japanese yen against the U.S. dollar at a securities firm in Tokyo, Friday, Dec. 9, 2022. ( AP Photo/Hiro Komae ) BANGKOK ( AP ) - Shares rose in Asia on Friday after an advance on Wall Street led by the latest rally in technology companies.', 'banner_image': 'https://storage.googleapis.com/afs-prod/media/02b653d03e1540ecb21adf0f17d65e0e/3000.webp', 'source': 'Associated Press', 'category_within_source': 'Markets', 'source_domain': 'apnews.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.983605'}, {'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.858979'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Economy - Macro', 'relevance_score': '0.158519'}], 'overall_sentiment_score': -0.002484, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'ATVI', 'relevance_score': '0.056143', 'ticker_sentiment_score': '-0.155029', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'MSFT', 'relevance_score': '0.056143', 'ticker_sentiment_score': '-0.155029', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'NKE', 'relevance_score': '0.056143', 'ticker_sentiment_score': '0.200974', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.056143', 'ticker_sentiment_score': '0.200974', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'PFE', 'relevance_score': '0.056143', 'ticker_sentiment_score': '0.200974', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'FOREX:JPY', 'relevance_score': '0.167322', 'ticker_sentiment_score': '0.06782', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:EUR', 'relevance_score': '0.056143', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.112008', 'ticker_sentiment_score': '0.054931', 'ticker_sentiment_label': 'Neutral'}]}"
8,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'World shares higher ahead of U.S. inflation update', 'url': 'https://apnews.com/article/inflation-asia-covid-economy-china-75495d5a529db24ea5f8caf3a8f5af74', 'time_published': '20221209T071400', 'authors': [], 'summary': 'Asian shares advance on back of Wall Street gains The Associated Press ...', 'banner_image': 'https://storage.googleapis.com/afs-prod/media/02b653d03e1540ecb21adf0f17d65e0e/3000.webp', 'source': 'Associated Press', 'category_within_source': 'Markets', 'source_domain': 'apnews.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.838487'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Economy - Macro', 'relevance_score': '0.158519'}], 'overall_sentiment_score': -0.014778, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'ATVI', 'relevance_score': '0.056407', 'ticker_sentiment_score': '-0.155037', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'MSFT', 'relevance_score': '0.056407', 'ticker_sentiment_score': '-0.155037', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'CTRYF', 'relevance_score': '0.056407', 'ticker_sentiment_score': '0.037072', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:JPY', 'relevance_score': '0.168099', 'ticker_sentiment_score': '0.068033', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:EUR', 'relevance_score': '0.056407', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.112532', 'ticker_sentiment_score': '0.055024', 'ticker_sentiment_label': 'Neutral'}]}"
9,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Microsoft rolls out Windows 11 update with snipping tool, screen recorder', 'url': 'https://www.business-standard.com/article/technology/microsoft-rolls-out-windows-11-update-with-snipping-tool-screen-recorder-122120900286_1.html', 'time_published': '20221209T071500', 'authors': ['IANS'], 'summary': 'With an aim to enhance user experience, tech giant Microsoft has started to roll out an update to the Snipping tool for Windows 11 to Insiders in the Dev Channel, which includes a built-in screen recorder tool.', 'banner_image': 'https://bsmedia.business-standard.com/_media/bs/img/article/2021-06/27/full/1624776017-9672.jpg?im=Resize,width=640', 'source': 'Business Standard', 'category_within_source': 'GoogleRSS', 'source_domain': 'www.business-standard.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.307318, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.348103', 'ticker_sentiment_score': '0.281619', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
