,items,sentiment_score_definition,relevance_score_definition,feed
0,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Ribbon Communications Inc.  ( RBBN )  Q1 2022 Earnings Call Transcript', 'url': 'https://www.fool.com/earnings/call-transcripts/2022/04/27/ribbon-communications-inc-rbbn-q1-2022-earnings-ca/', 'time_published': '20220428T013031', 'authors': ['Motley Fool Transcribing'], 'summary': 'RBBN earnings call for the period ending March 31, 2022.', 'banner_image': 'https://g.foolcdn.com/misc-assets/fool-transcripts-logo.png', 'source': 'Motley Fool', 'category_within_source': 'n/a', 'source_domain': 'www.fool.com', 'topics': [{'topic': 'Financial Markets', 'relevance_score': '0.998962'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}], 'overall_sentiment_score': 0.207303, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'AVCT', 'relevance_score': '0.013372', 'ticker_sentiment_score': '-0.001907', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.020056', 'ticker_sentiment_score': '0.611385', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.013372', 'ticker_sentiment_score': '0.37386', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'MTNOF', 'relevance_score': '0.006686', 'ticker_sentiment_score': '0.412897', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'BAC', 'relevance_score': '0.006686', 'ticker_sentiment_score': '0.174758', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GS', 'relevance_score': '0.006686', 'ticker_sentiment_score': '0.174758', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
1,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Microvision  ( MVIS )  Q1 2022 Earnings Call Transcript', 'url': 'https://www.fool.com/earnings/call-transcripts/2022/04/27/microvision-mvis-q1-2022-earnings-call-transcript/', 'time_published': '20220428T013039', 'authors': ['Motley Fool Transcribing'], 'summary': 'MVIS earnings call for the period ending March 31, 2022.', 'banner_image': 'https://g.foolcdn.com/misc-assets/fool-transcripts-logo.png', 'source': 'Motley Fool', 'category_within_source': 'n/a', 'source_domain': 'www.fool.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.999998'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.999998'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.310843'}, {'topic': 'Technology', 'relevance_score': '0.5'}], 'overall_sentiment_score': 0.241984, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.017822', 'ticker_sentiment_score': '0.143039', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.011882', 'ticker_sentiment_score': '-0.016368', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MVIS', 'relevance_score': '0.077113', 'ticker_sentiment_score': '0.37697', 'ticker_sentiment_label': 'Bullish'}]}"
2,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'On Assignment  ( ASGN )  Q1 2022 Earnings Call Transcript', 'url': 'https://www.fool.com/earnings/call-transcripts/2022/04/27/on-assignment-asgn-q1-2022-earnings-call-transcrip/', 'time_published': '20220428T013053', 'authors': ['Motley Fool Transcribing'], 'summary': 'ASGN earnings call for the period ending March 31, 2022.', 'banner_image': 'https://g.foolcdn.com/misc-assets/fool-transcripts-logo.png', 'source': 'Motley Fool', 'category_within_source': 'n/a', 'source_domain': 'www.fool.com', 'topics': [{'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.451494'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.999939'}, {'topic': 'Earnings', 'relevance_score': '0.99994'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.108179'}], 'overall_sentiment_score': 0.126781, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.00578', 'ticker_sentiment_score': '-0.075076', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CSLI', 'relevance_score': '0.00578', 'ticker_sentiment_score': '0.138025', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BAC', 'relevance_score': '0.00578', 'ticker_sentiment_score': '0.002485', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'EAT', 'relevance_score': '0.00578', 'ticker_sentiment_score': '0.446696', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'HSCC', 'relevance_score': '0.00578', 'ticker_sentiment_score': '0.327429', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAL', 'relevance_score': '0.00578', 'ticker_sentiment_score': '0.446696', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'ACN', 'relevance_score': '0.00578', 'ticker_sentiment_score': '-0.075076', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BCO', 'relevance_score': '0.01156', 'ticker_sentiment_score': '0.367865', 'ticker_sentiment_label': 'Bullish'}]}"
3,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Dubber Corporation Limited March 2022 Quarterly Activities Report', 'url': 'https://www.prnewswire.com/news-releases/dubber-corporation-limited-march-2022-quarterly-activities-report-301534881.html', 'time_published': '20220428T013100', 'authors': ['Dubber'], 'summary': '• Revenue for 12 months to was consistent with reported ARR at', 'banner_image': 'https://mma.prnewswire.com/media/1806697/Key_Metrics_1.jpg?w=400', 'source': 'PR Newswire', 'category_within_source': 'n/a', 'source_domain': 'www.prnewswire.com', 'topics': [{'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.650727'}], 'overall_sentiment_score': 0.146554, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'DUBRF', 'relevance_score': '0.495596', 'ticker_sentiment_score': '0.148491', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.034354', 'ticker_sentiment_score': '0.57108', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'SSNLF', 'relevance_score': '0.034354', 'ticker_sentiment_score': '0.041615', 'ticker_sentiment_label': 'Neutral'}]}"
4,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Teladoc Health  ( TDOC )  Q1 2022 Earnings Call Transcript', 'url': 'https://www.fool.com/earnings/call-transcripts/2022/04/27/teladoc-health-tdoc-q1-2022-earnings-call-transcri/', 'time_published': '20220428T020022', 'authors': ['Motley Fool Transcribing'], 'summary': 'TDOC earnings call for the period ending March 31, 2022.', 'banner_image': 'https://g.foolcdn.com/misc-assets/fool-transcripts-logo.png', 'source': 'Motley Fool', 'category_within_source': 'n/a', 'source_domain': 'www.fool.com', 'topics': [{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.904684'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.796627'}], 'overall_sentiment_score': 0.054937, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'EVR', 'relevance_score': '0.004791', 'ticker_sentiment_score': '0.813937', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.009581', 'ticker_sentiment_score': '0.253489', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'C', 'relevance_score': '0.004791', 'ticker_sentiment_score': '0.852313', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'TDOC', 'relevance_score': '0.014371', 'ticker_sentiment_score': '-0.033854', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BAC', 'relevance_score': '0.004791', 'ticker_sentiment_score': '0.867022', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'WFC', 'relevance_score': '0.004791', 'ticker_sentiment_score': '0.843122', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'GS', 'relevance_score': '0.004791', 'ticker_sentiment_score': '0.021011', 'ticker_sentiment_label': 'Neutral'}]}"
5,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'ATCO REPORTS FIRST QUARTER 2022 EARNINGS', 'url': 'https://www.newswire.ca/news-releases/atco-reports-first-quarter-2022-earnings-804593366.html', 'time_published': '20220428T021400', 'authors': ['ATCO Ltd.'], 'summary': 'First quarter earnings attributable to Class I and Class II Shares reported in accordance with International Financial Reporting Standards  ( IFRS earnings )  were $128 million  ( $1.12 per share ) , $45 million  ( $0.39 per share )  higher compared to $83 million  ( $0.73 per share )  in the first quarter of 2021.', 'banner_image': 'https://mma.prnewswire.com/media/1806757/ATCO_Ltd__ATCO_REPORTS_FIRST_QUARTER_2022_EARNINGS.pdf?p=pdf&p=facebook', 'source': 'Canada Newswire', 'category_within_source': 'n/a', 'source_domain': 'www.newswire.ca', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': -0.006293, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.016581', 'ticker_sentiment_score': '0.041448', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'KD', 'relevance_score': '0.016581', 'ticker_sentiment_score': '-0.01891', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WIT', 'relevance_score': '0.033155', 'ticker_sentiment_score': '-0.01891', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ACLTF', 'relevance_score': '0.180829', 'ticker_sentiment_score': '0.013262', 'ticker_sentiment_label': 'Neutral'}]}"
6,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'CANADIAN UTILITIES REPORTS FIRST QUARTER 2022 EARNINGS', 'url': 'https://www.newswire.ca/news-releases/canadian-utilities-reports-first-quarter-2022-earnings-816877119.html', 'time_published': '20220428T021900', 'authors': ['CU Inc.'], 'summary': 'First quarter earnings attributable to equity owners of the Company reported in accordance with International Financial Reporting Standards  ( IFRS earnings )  were $227 million  ( $0.78 per Class A and Class B share ) , $86 million  ( $0.32 per Class A and Class B share )  higher compared to $141 million  ( $0.46 per Class A and Class B share )  in the first quarter of 2021.', 'banner_image': 'https://mma.prnewswire.com/media/1806763/CU_Inc__CANADIAN_UTILITIES_REPORTS_FIRST_QUARTER_2022_EARNINGS.pdf?p=pdf&p=facebook', 'source': 'Canada Newswire', 'category_within_source': 'n/a', 'source_domain': 'www.newswire.ca', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.503496'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': -0.016434, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.018075', 'ticker_sentiment_score': '-0.001402', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CDUAF', 'relevance_score': '0.126005', 'ticker_sentiment_score': '0.005337', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'KD', 'relevance_score': '0.018075', 'ticker_sentiment_score': '-0.01891', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WIT', 'relevance_score': '0.03614', 'ticker_sentiment_score': '-0.01891', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ACLTF', 'relevance_score': '0.072206', 'ticker_sentiment_score': '-0.006739', 'ticker_sentiment_label': 'Neutral'}]}"
7,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'US Stock Market: Dow, S&P 500 ends higher supported by Microsoft, Nasdaq falls | The Financial Express', 'url': 'https://www.financialexpress.com/market/us-stock-market-dow-sp-500-ends-higher-supported-by-microsoft-nasdaq-falls/2506052/', 'time_published': '20220428T022616', 'authors': [], 'summary': 'The Dow Jones Industrial Average rose 0.19% to end at 33,301.93 points, while the S&P 500 gained 0.21% to 4,183.92.', 'banner_image': 'https://www.financialexpress.com/wp-content/uploads/2022/04/Wall-Street-Reuters-1-4.jpg', 'source': 'The Financial Express', 'category_within_source': 'n/a', 'source_domain': 'www.financialexpress.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.796627'}, {'topic': 'Technology', 'relevance_score': '0.5'}], 'overall_sentiment_score': -0.160935, 'overall_sentiment_label': 'Somewhat-Bearish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.170817', 'ticker_sentiment_score': '-0.017314', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.085905', 'ticker_sentiment_score': '-0.327896', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'MAT', 'relevance_score': '0.085905', 'ticker_sentiment_score': '-0.253701', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'TSLA', 'relevance_score': '0.085905', 'ticker_sentiment_score': '-0.694135', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'SPOT', 'relevance_score': '0.085905', 'ticker_sentiment_score': '-0.002327', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TWTR', 'relevance_score': '0.085905', 'ticker_sentiment_score': '-0.694135', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'V', 'relevance_score': '0.085905', 'ticker_sentiment_score': '0.109156', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FB', 'relevance_score': '0.170817', 'ticker_sentiment_score': '-0.224667', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'BA', 'relevance_score': '0.085905', 'ticker_sentiment_score': '-0.732114', 'ticker_sentiment_label': 'Bearish'}]}"
8,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Qualcomm  ( QCOM )  Q2 2022 Earnings Call Transcript', 'url': 'https://www.fool.com/earnings/call-transcripts/2022/04/27/qualcomm-qcom-q2-2022-earnings-call-transcript/', 'time_published': '20220428T023021', 'authors': ['Motley Fool Transcribing'], 'summary': 'QCOM earnings call for the period ending March 31, 2022.', 'banner_image': 'https://g.foolcdn.com/misc-assets/fool-transcripts-logo.png', 'source': 'Motley Fool', 'category_within_source': 'n/a', 'source_domain': 'www.fool.com', 'topics': [{'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}], 'overall_sentiment_score': 0.368302, 'overall_sentiment_label': 'Bullish', 'ticker_sentiment': [{'ticker': 'LNVGF', 'relevance_score': '0.017281', 'ticker_sentiment_score': '0.799182', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.005761', 'ticker_sentiment_score': '0.725938', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'SSNLF', 'relevance_score': '0.09769', 'ticker_sentiment_score': '0.424829', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'BCS', 'relevance_score': '0.005761', 'ticker_sentiment_score': '0.007368', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BAC', 'relevance_score': '0.005761', 'ticker_sentiment_score': '0.863532', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'QCOM', 'relevance_score': '0.114819', 'ticker_sentiment_score': '0.529658', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'MS', 'relevance_score': '0.005761', 'ticker_sentiment_score': '0.834191', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'CCORF', 'relevance_score': '0.005761', 'ticker_sentiment_score': '0.844816', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'GS', 'relevance_score': '0.02304', 'ticker_sentiment_score': '0.317333', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
9,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Share Market Today LIVE | Sensex, Nifty, BSE, NSE, Share Prices, Stock Market News Updates 28 April 2022 | The Financial Express', 'url': 'https://www.financialexpress.com/market/share-market-today-live-updates-sensex-nifty-rupee-vs-dollar-sgx-nifty-fo-expiry-monthly-futures-and-options-contract-expiry-lic-ipo-campus-activewear-ipo-last-day-oil-prices-28-april-2022-thursday/2506062/', 'time_published': '20220428T024010', 'authors': [], 'summary': 'Share Market News Today | Sensex, Nifty, Share Prices LIVE: BSE Sensex and Nifty 50 were likely to witness a tepid start on Thursday, a day of weekly and monthly F&O expiry of April contracts.', 'banner_image': 'https://www.financialexpress.com/wp-content/uploads/2022/04/Stocksreuters-1.jpg', 'source': 'The Financial Express', 'category_within_source': 'n/a', 'source_domain': 'www.financialexpress.com', 'topics': [{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'IPO', 'relevance_score': '0.890401'}, {'topic': 'Financial Markets', 'relevance_score': '0.998682'}, {'topic': 'Earnings', 'relevance_score': '0.108179'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}], 'overall_sentiment_score': -0.043682, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'APO', 'relevance_score': '0.040753', 'ticker_sentiment_score': '-0.047923', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.0814', 'ticker_sentiment_score': '-0.047923', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FB', 'relevance_score': '0.121835', 'ticker_sentiment_score': '-0.047923', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'OIBRQ', 'relevance_score': '0.0814', 'ticker_sentiment_score': '-0.047923', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'V', 'relevance_score': '0.040753', 'ticker_sentiment_score': '-0.047923', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'UL', 'relevance_score': '0.0814', 'ticker_sentiment_score': '-0.047923', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:JPY', 'relevance_score': '0.040753', 'ticker_sentiment_score': '-0.047923', 'ticker_sentiment_label': 'Neutral'}]}"
